pokedex_number,name,generation,is_legendary,classification,type1,type2,height_m,weight_kg,ability_1,ability_2,ability_hidden,base_total,hp,attack,defense,sp_attack,sp_defense,speed,capture_rate,base_happiness,experience_growth,percentage_male,base_egg_steps
46,Paras,1,0,Mushroom Pokémon,Bug,Grass,0.3,5.4,Effect Spore,Dry Skin,Damp,285,35,70,55,45,55,25,190,70,1000000,50,5120
47,Parasect,1,0,Mushroom Pokémon,Bug,Grass,1,29.5,Effect Spore,Dry Skin,Damp,405,60,95,80,60,80,30,75,70,1000000,50,5120
48,Venonat,1,0,Insect Pokémon,Bug,Poison,1,30,Compound Eyes,Tinted Lens,Run Away,305,60,55,50,40,55,45,190,70,1000000,50,5120
49,Venomoth,1,0,Poison Moth Pokémon,Bug,Poison,1.5,12.5,Shield Dust,Tinted Lens,Wonder Skin,450,70,65,60,90,75,90,75,70,1000000,50,5120
50,Diglett,1,0,Mole Pokémon,Ground,,0.2,0.8,Sand Veil,Arena Trap,Sand Force,265,10,55,25,35,45,95,255,70,1000000,50,5120
50,Alolan Diglett,1,0,Mole Pokémon,Ground,Steel,0.2,1,Sand Veil,Tangling Hair,Sand Force,265,10,55,30,35,45,90,255,70,1000000,50,5120
51,Dugtrio,1,0,Mole Pokémon,Ground,,0.7,33.3,Sand Veil,Arena Trap,Sand Force,425,35,100,50,50,70,120,50,70,1000000,50,5120
51,Alolan Dugtrio,1,0,Mole Pokémon,Ground,Steel,0.7,66.6,Sand Veil,Tangling Hair,Sand Force,425,35,100,60,50,70,110,50,70,1000000,50,5120
52,Meowth,1,0,Scratch Cat Pokémon,Normal,,0.4,4.2,Pickup,Technician,Unnerve,290,40,45,35,40,40,90,255,70,1000000,50,5120
52,Alolan Meowth,1,0,Scratch Cat Pokémon,Dark,,0.4,4.2,Pickup,Technician,Rattled,290,40,35,35,50,40,90,255,70,1000000,50,5120
53,Persian,1,0,Classy Cat Pokémon,Normal,,1,32,Limber,Technician,Unnerve,440,65,70,60,65,65,115,90,70,1000000,50,5120
53,Alolan Persian,1,0,Classy Cat Pokémon,Dark,,1.1,33,Fur Coat,Technician,Rattled,440,65,60,60,75,65,115,90,70,1000000,50,5120
54,Psyduck,1,0,Duck Pokémon,Water,,0.8,19.6,Damp,Cloud Nine,Swift Swim,320,50,52,48,65,50,55,190,70,1000000,50,5120
55,Golduck,1,0,Duck Pokémon,Water,,1.7,76.6,Damp,Cloud Nine,Swift Swim,500,80,82,78,95,80,85,75,70,1000000,50,5120
56,Mankey,1,0,Pig Monkey Pokémon,Fighting,,0.5,28,Vital Spirit,Anger Point,Defiant,305,40,80,35,35,45,70,190,70,1000000,50,5120
57,Primeape,1,0,Pig Monkey Pokémon,Fighting,,1,32,Vital Spirit,Anger Point,Defiant,455,65,105,60,60,70,95,75,70,1000000,50,5120
58,Growlithe,1,0,Puppy Pokémon,Fire,,0.7,19,Intimidate,Flash Fire,Justified,350,55,70,45,70,50,60,190,70,1250000,75.4,5120
59,Arcanine,1,0,Legendary Pokémon,Fire,,1.9,155,Intimidate,Flash Fire,Justified,555,90,110,80,100,80,95,75,70,1250000,75.4,5120
60,Poliwag,1,0,Tadpole Pokémon,Water,,0.6,12.4,Water Absorb,Damp,Swift Swim,300,40,50,40,40,40,90,255,70,1059860,50,5120
61,Poliwhirl,1,0,Tadpole Pokémon,Water,,1,20,Water Absorb,Damp,Swift Swim,385,65,65,65,50,50,90,120,70,1059860,50,5120
62,Poliwrath,1,0,Tadpole Pokémon,Water,Fighting,1.3,54,Water Absorb,Damp,Swift Swim,510,90,95,95,70,90,70,45,70,1059860,50,5120
63,Abra,1,0,Psi Pokémon,Psychic,,0.9,19.5,Synchronize,Inner Focus,Magic Guard,310,25,20,15,105,55,90,200,70,1059860,75.4,5120
64,Kadabra,1,0,Psi Pokémon,Psychic,,1.3,56.5,Synchronize,Inner Focus,Magic Guard,400,40,35,30,120,70,105,100,70,1059860,75.4,5120
65,Alakazam,1,0,Psi Pokémon,Psychic,,1.5,48,Synchronize,Inner Focus,Magic Guard,500,55,50,45,135,95,120,50,70,1059860,75.4,5120
66,Machop,1,0,Superpower Pokémon,Fighting,,0.8,19.5,Guts,No Guard,Steadfast,305,70,80,50,35,35,35,180,70,1059860,75.4,5120
67,Machoke,1,0,Superpower Pokémon,Fighting,,1.5,70.5,Guts,No Guard,Steadfast,405,80,100,70,50,60,45,90,70,1059860,75.4,5120
68,Machamp,1,0,Superpower Pokémon,Fighting,,1.6,130,Guts,No Guard,Steadfast,505,90,130,80,65,85,55,45,70,1059860,75.4,5120
69,Bellsprout,1,0,Flower Pokémon,Grass,Poison,0.7,4,Chlorophyll,,Gluttony,300,50,75,35,70,30,40,255,70,1059860,50,5120
70,Weepinbell,1,0,Flycatcher Pokémon,Grass,Poison,1,6.4,Chlorophyll,,Gluttony,390,65,90,50,85,45,55,120,70,1059860,50,5120
71,Victreebel,1,0,Flycatcher Pokémon,Grass,Poison,1.7,15.5,Chlorophyll,,Gluttony,490,80,105,65,100,70,70,45,70,1059860,50,5120
72,Tentacool,1,0,Jellyfish Pokémon,Water,Poison,0.9,45.5,Clear Body,Liquid Ooze,Rain Dish,335,40,40,35,50,100,70,190,70,1250000,50,5120
73,Tentacruel,1,0,Jellyfish Pokémon,Water,Poison,1.6,55,Clear Body,Liquid Ooze,Rain Dish,515,80,70,65,80,120,100,60,70,1250000,50,5120
74,Geodude,1,0,Rock Pokémon,Rock,Ground,0.4,20,Rock Head,Sturdy,Sand Veil,300,40,80,100,30,30,20,255,70,1059860,50,3840
74,Alolan Geodude,1,0,Rock Pokémon,Rock,Electric,0.4,20.3,Magnet Pull,Sturdy,Galvanize,300,40,80,100,30,30,20,255,70,1059860,50,3840
75,Graveler,1,0,Rock Pokémon,Rock,Ground,1,105,Rock Head,Sturdy,Sand Veil,390,55,95,115,45,45,35,120,70,1059860,50,3840
75,Alolan Graveler,1,0,Rock Pokémon,Rock,Electric,1,110,Magnet Pull,Sturdy,Galvanize,390,55,95,115,45,45,35,120,70,1059860,50,3840
76,Golem,1,0,Megaton Pokémon,Rock,Ground,1.4,300,Rock Head,Sturdy,Sand Veil,495,80,120,130,55,65,45,45,70,1059860,50,3840
76,Alolan Golem,1,0,Megaton Pokémon,Rock,Electric,1.7,316,Magnet Pull,Sturdy,Galvanize,495,80,120,130,55,65,45,45,70,1059860,50,3840
77,Ponyta,1,0,Fire Horse Pokémon,Fire,,1,30,Run Away,Flash Fire,Flame Body,410,50,85,55,65,65,90,190,70,1000000,50,5120
78,Rapidash,1,0,Fire Horse Pokémon,Fire,,1.7,95,Run Away,Flash Fire,Flame Body,500,65,100,70,80,80,105,60,70,1000000,50,5120
79,Slowpoke,1,0,Dopey Pokémon,Water,Psychic,1.2,36,Oblivious,Own Tempo,Regenerator,315,90,65,65,40,40,15,190,70,1000000,50,5120
80,Slowbro,1,0,Hermit Crab Pokémon,Water,Psychic,1.6,78.5,Oblivious,Own Tempo,Regenerator,490,95,75,110,100,80,30,75,70,1000000,50,5120
81,Magnemite,1,0,Magnet Pokémon,Electric,Steel,0.3,6,Magnet Pull,Sturdy,Analytic,325,25,35,70,95,55,45,190,70,1000000,Genderless,5120
82,Magneton,1,0,Magnet Pokémon,Electric,Steel,1,60,Magnet Pull,Sturdy,Analytic,465,50,60,95,120,70,70,60,70,1000000,Genderless,5120
83,Farfetch'd,1,0,Wild Duck Pokémon,Normal,Flying,0.8,15,Keen Eye,Inner Focus,Defiant,377,52,90,55,58,62,60,45,70,1000000,50,5120
84,Doduo,1,0,Twin Bird Pokémon,Normal,Flying,1.4,39.2,Run Away,Early Bird,Tangled Feet,310,35,85,45,35,35,75,190,70,1000000,50,5120
85,Dodrio,1,0,Triple Bird Pokémon,Normal,Flying,1.8,85.2,Run Away,Early Bird,Tangled Feet,470,60,110,70,60,60,110,45,70,1000000,50,5120
86,Seel,1,0,Sea Lion Pokémon,Water,,1.1,90,Thick Fat,Hydration,Ice Body,325,65,45,55,45,70,45,190,70,1000000,50,5120
87,Dewgong,1,0,Sea Lion Pokémon,Water,Ice,1.7,120,Thick Fat,Hydration,Ice Body,475,90,70,80,70,95,70,75,70,1000000,50,5120
88,Grimer,1,0,Sludge Pokémon,Poison,,0.9,30,Stench,Sticky Hold,Poison Touch,325,80,80,50,40,50,25,190,70,1000000,50,5120
88,Alolan Grimer,1,0,Sludge Pokémon,Poison,Dark,0.7,42,Poison Touch,Gluttony,Power of Alchemy,325,80,80,50,40,50,25,190,70,1000000,50,5120
89,Muk,1,0,Sludge Pokémon,Poison,,1.2,30,Stench,Sticky Hold,Poison Touch,500,105,105,75,65,100,50,75,70,1000000,50,5120
89,Alolan Muk,1,0,Sludge Pokémon,Poison,Dark,1,52,Poison Touch,Gluttony,Power of Alchemy,500,105,105,75,65,100,50,75,70,1000000,50,5120
90,Shellder,1,0,Bivalve Pokémon,Water,,0.3,4,Shell Armor,Skill Link,Overcoat,305,30,65,100,45,25,40,190,70,1250000,50,5120
91,Cloyster,1,0,Bivalve Pokémon,Water,Ice,1.5,132.5,Shell Armor,Skill Link,Overcoat,525,50,95,180,85,45,70,60,70,1250000,50,5120
92,Gastly,1,0,Gas Pokémon,Ghost,Poison,1.3,0.1,Levitate,,,310,30,35,30,100,35,80,190,70,1059860,50,5120
93,Haunter,1,0,Gas Pokémon,Ghost,Poison,1.6,0.1,Levitate,,,405,45,50,45,115,55,95,90,70,1059860,50,5120
94,Gengar,1,0,Shadow Pokémon,Ghost,Poison,1.5,40.5,Cursed Body,,,500,60,65,60,130,75,110,45,70,1059860,50,5120
95,Onix,1,0,Rock Snake Pokémon,Rock,Ground,8.8,210,Rock Head,Sturdy,Weak Armor,385,35,45,160,30,45,70,45,70,1000000,50,6400
96,Drowzee,1,0,Hypnosis Pokémon,Psychic,,1,32.4,Insomnia,Forewarn,Inner Focus,328,60,48,45,43,90,42,190,70,1000000,50,5120
97,Hypno,1,0,Hypnosis Pokémon,Psychic,,1.6,75.6,Insomnia,Forewarn,Inner Focus,483,85,73,70,73,115,67,75,70,1000000,50,5120
98,Krabby,1,0,River Crab Pokémon,Water,,0.4,6.5,Hyper Cutter,Shell Armor,Sheer Force,325,30,105,90,25,25,50,225,70,1000000,50,5120
99,Kingler,1,0,Pincer Pokémon,Water,,1.3,60,Hyper Cutter,Shell Armor,Sheer Force,475,55,130,115,50,50,75,60,70,1000000,50,5120
100,Voltorb,1,0,Ball Pokémon,Electric,,0.5,10.4,Soundproof,Static,Aftermath,330,40,30,50,55,55,100,190,70,1000000,Genderless,5120
101,Electrode,1,0,Ball Pokémon,Electric,,1.2,66.6,Soundproof,Static,Aftermath,490,60,50,70,80,80,150,60,70,1000000,Genderless,5120
102,Exeggcute,1,0,Egg Pokémon,Grass,Psychic,0.4,2.5,Chlorophyll,,Harvest,325,60,40,80,60,45,40,90,70,1250000,50,5120
103,Exeggutor,1,0,Coconut Pokémon,Grass,Psychic,2,120,Chlorophyll,,Harvest,530,95,95,85,125,75,55,45,70,1250000,50,5120
103,Alolan Exeggutor,1,0,Coconut Pokémon,Grass,Dragon,10.9,415.6,Frisk,,Harvest,530,95,105,85,125,75,45,45,70,1250000,50,5120
104,Cubone,1,0,Lonely Pokémon,Ground,,0.4,6.5,Rock Head,Lightning Rod,Battle Armor,320,50,50,95,40,50,35,190,70,1000000,50,5120
105,Marowak,1,0,Bone Keeper Pokémon,Ground,,1,45,Rock Head,Lightning Rod,Battle Armor,425,60,80,110,50,80,45,75,70,1000000,50,5120
105,Alolan Marowak,1,0,Bone Keeper Pokémon,Fire,Ghost,1,34,Cursed Body,Lightning Rod,Rock Head,425,60,80,110,50,80,45,75,70,1000000,50,5120
106,Hitmonlee,1,0,Kicking Pokémon,Fighting,,1.5,49.8,Limber,Reckless,Unburden,455,50,120,53,35,110,87,45,70,1000000,100,6400
107,Hitmonchan,1,0,Punching Pokémon,Fighting,,1.4,50.2,Keen Eye,Iron Fist,Inner Focus,455,50,105,79,35,110,76,45,70,1000000,100,6400
108,Lickitung,1,0,Licking Pokémon,Normal,,1.2,65.5,Own Tempo,Oblivious,Cloud Nine,385,90,55,75,60,75,30,45,70,1000000,50,5120
109,Koffing,1,0,Poison Gas Pokémon,Poison,,0.6,1,Levitate,Neutralizing Gas,Stench,340,40,65,95,60,45,35,190,70,1000000,50,5120
110,Weezing,1,0,Poison Gas Pokémon,Poison,,1.2,9.5,Levitate,Neutralizing Gas,Stench,490,65,90,120,85,70,60,60,70,1000000,50,5120
111,Rhyhorn,1,0,Spikes Pokémon,Ground,Rock,1,115,Lightning Rod,Rock Head,Reckless,345,80,85,95,30,30,25,120,70,1250000,50,5120
112,Rhydon,1,0,Drill Pokémon,Ground,Rock,1.9,120,Lightning Rod,Rock Head,Reckless,485,105,130,120,45,45,40,60,70,1250000,50,5120
113,Chansey,1,0,Egg Pokémon,Normal,,1.1,34.6,Natural Cure,Serene Grace,Healer,450,250,5,5,35,105,50,30,140,800000,0,10240
114,Tangela,1,0,Vine Pokémon,Grass,,1,35,Chlorophyll,Leaf Guard,Regenerator,435,65,55,115,100,40,60,45,70,1000000,50,5120
115,Kangaskhan,1,0,Parent Pokémon,Normal,,2.2,80,Early Bird,Scrappy,Inner Focus,490,105,95,80,40,80,90,45,70,1000000,0,5120
116,Horsea,1,0,Dragon Pokémon,Water,,0.4,8,Swift Swim,Sniper,Damp,295,30,40,70,70,25,60,225,70,1000000,50,5120
117,Seadra,1,0,Dragon Pokémon,Water,,1.2,25,Poison Point,Sniper,Damp,440,55,65,95,95,45,85,75,70,1000000,50,5120
118,Goldeen,1,0,Goldfish Pokémon,Water,,0.6,15,Swift Swim,Water Veil,Lightning Rod,320,45,67,60,35,50,63,225,70,1000000,50,5120
119,Seaking,1,0,Goldfish Pokémon,Water,,1.3,39,Swift Swim,Water Veil,Lightning Rod,450,80,92,65,65,80,68,60,70,1000000,50,5120
120,Staryu,1,0,Star Shape Pokémon,Water,,0.8,34.5,Illuminate,Natural Cure,Analytic,340,30,45,55,70,55,85,225,70,1250000,Genderless,5120
121,Starmie,1,0,Mysterious Pokémon,Water,Psychic,1.1,80,Illuminate,Natural Cure,Analytic,520,60,75,85,100,85,115,60,70,1250000,Genderless,5120
122,Mr. Mime,1,0,Barrier Pokémon,Psychic,Fairy,1.3,54.5,Soundproof,Filter,Technician,460,40,45,65,100,120,90,45,70,1000000,50,6400
123,Scyther,1,0,Mantis Pokémon,Bug,Flying,1.5,56,Swarm,Technician,Steadfast,500,70,110,80,55,80,105,45,70,1000000,50,6400
124,Jynx,1,0,Human Shape Pokémon,Ice,Psychic,1.4,40.6,Oblivious,Forewarn,Dry Skin,455,65,50,35,115,95,95,45,70,1000000,0,6400
125,Electabuzz,1,0,Electric Pokémon,Electric,,1.1,30,Static,,Vital Spirit,490,65,83,57,95,85,105,45,70,1000000,75.4,6400
126,Magmar,1,0,Spitfire Pokémon,Fire,,1.3,44.5,Flame Body,,Vital Spirit,495,65,95,57,100,85,93,45,70,1000000,75.4,6400
127,Pinsir,1,0,Stag Beetle Pokémon,Bug,,1.5,55,Hyper Cutter,Mold Breaker,Moxie,500,65,125,100,55,70,85,45,70,1250000,50,6400
128,Tauros,1,0,Wild Bull Pokémon,Normal,,1.4,88.4,Intimidate,Anger Point,Sheer Force,490,75,100,95,40,70,110,45,70,1250000,100,5120
129,Magikarp,1,0,Fish Pokémon,Water,,0.9,10,Swift Swim,,Rattled,200,20,10,55,15,20,80,255,70,1250000,50,1280
130,Gyarados,1,0,Atrocious Pokémon,Water,Flying,6.5,235,Intimidate,,Moxie,540,95,125,79,60,100,81,45,70,1250000,50,1280
131,Lapras,1,0,Transport Pokémon,Water,Ice,2.5,220,Water Absorb,Shell Armor,Hydration,535,130,85,80,85,95,60,45,70,1250000,50,10240
132,Ditto,1,0,Transform Pokémon,Normal,,0.3,4,Limber,,Imposter,288,48,48,48,48,48,48,35,70,1000000,Genderless,5120
133,Eevee,1,0,Evolution Pokémon,Normal,,0.3,6.5,Run Away,Adaptability,Anticipation,325,55,55,50,45,65,55,45,70,1000000,88.1,8960
134,Vaporeon,1,0,Bubble Jet Pokémon,Water,,1,29,Water Absorb,,Hydration,525,130,65,60,110,95,65,45,70,1000000,88.1,8960
135,Jolteon,1,0,Lightning Pokémon,Electric,,0.8,24.5,Volt Absorb,,Quick Feet,525,65,65,60,110,95,130,45,70,1000000,88.1,8960
136,Flareon,1,0,Flame Pokémon,Fire,,0.9,25,Flash Fire,,Guts,525,65,130,60,95,110,65,45,70,1000000,88.1,8960
137,Porygon,1,0,Virtual Pokémon,Normal,,0.8,36.5,Trace,Download,Analytic,395,65,60,70,85,75,40,45,70,1000000,Genderless,5120
138,Omanyte,1,0,Spiral Pokémon,Rock,Water,0.4,7.5,Swift Swim,Shell Armor,Weak Armor,355,35,40,100,90,55,35,45,70,1000000,88.1,7680
139,Omastar,1,0,Spiral Pokémon,Rock,Water,1,35,Swift Swim,Shell Armor,Weak Armor,495,70,60,125,115,70,55,45,70,1000000,88.1,7680
140,Kabuto,1,0,Shellfish Pokémon,Rock,Water,0.5,11.5,Swift Swim,Battle Armor,Weak Armor,355,30,80,90,55,45,55,45,70,1000000,88.1,7680
141,Kabutops,1,0,Shellfish Pokémon,Rock,Water,1.3,40.5,Swift Swim,Battle Armor,Weak Armor,495,60,115,105,65,70,80,45,70,1000000,88.1,7680
142,Aerodactyl,1,0,Fossil Pokémon,Rock,Flying,1.8,59,Rock Head,Pressure,Unnerve,515,80,105,65,60,75,130,45,70,1250000,88.1,8960
143,Snorlax,1,0,Sleeping Pokémon,Normal,,2.1,460,Immunity,Thick Fat,Gluttony,540,160,110,65,65,110,30,25,70,1250000,88.1,10240
144,Articuno,1,1,Freeze Pokémon,Ice,Flying,1.7,55.4,Pressure,,Snow Cloak,580,90,85,100,95,125,85,3,35,1250000,Genderless,20480
145,Zapdos,1,1,Electric Pokémon,Electric,Flying,1.6,52.6,Pressure,,Static,580,90,90,85,125,90,100,3,35,1250000,Genderless,20480
146,Moltres,1,1,Flame Pokémon,Fire,Flying,2,60,Pressure,,Flame Body,580,90,100,90,125,85,90,3,35,1250000,Genderless,20480
147,Dratini,1,0,Dragon Pokémon,Dragon,,1.8,3.3,Shed Skin,,Marvel Scale,300,41,64,45,50,50,50,45,35,1250000,50,10240
148,Dragonair,1,0,Dragon Pokémon,Dragon,,4,16.5,Shed Skin,,Marvel Scale,420,61,84,65,70,70,70,45,35,1250000,50,10240
149,Dragonite,1,0,Dragon Pokémon,Dragon,Flying,2.2,210,Inner Focus,,Multiscale,600,91,134,95,100,100,80,45,35,1250000,50,10240
150,Mewtwo,1,1,Genetic Pokémon,Psychic,,2,122,Pressure,,Unnerve,680,106,110,90,154,90,130,3,0,1250000,Genderless,30720
151,Mew,1,1,New Species Pokémon,Psychic,,0.4,4,Synchronize,,,600,100,100,100,100,100,100,45,100,1059860,Genderless,30720
152,Chikorita,2,0,Leaf Pokémon,Grass,,0.9,6.4,Overgrow,,Leaf Guard,318,45,49,65,49,65,45,45,70,1059860,88.1,5120
153,Bayleef,2,0,Leaf Pokémon,Grass,,1.2,15.8,Overgrow,,Leaf Guard,405,60,62,80,63,80,60,45,70,1059860,88.1,5120
154,Meganium,2,0,Herb Pokémon,Grass,,1.8,100.5,Overgrow,,Leaf Guard,525,80,82,100,83,100,80,45,70,1059860,88.1,5120
